,name,address
169,크래프트한스 강남직영점,서울 강남구 강남대로96길 12 1층
170,고기꾼김춘배 강남점,서울 강남구 강남대로100길 13 3층
171,폴인팬케이크 강남점,서울 강남구 봉은사로6길 29 매사빌딩 1층
172,진가와 한국본점,서울 강남구 논현로94길 25-3
173,프리모바치오바치 강남점,서울 강남구 강남대로 416 창림빌딩
174,모도우 강남N점,서울 강남구 테헤란로 129 강남N타워 B2층
175,심퍼티쿠시 역삼점,서울 강남구 논현로87길 19 지하 1층
176,낙원타코 강남CGV점,서울 강남구 봉은사로4길 33
177,매우매오 강남역본점,서울 강남구 봉은사로4길 40 지하1층 1호
178,램브란트 강남N점,서울 강남구 테헤란로 129 강남N타워 B2층
179,육전식당 4호점,서울 강남구 테헤란로8길 11-4 신도빌딩 1층
180,한방대가삼계탕 강남본점,서울 강남구 역삼로5길 22 2층
181,칙바이칙 강남역점,서울 강남구 강남대로94길 15
182,고쿠텐 강남역점,서울 강남구 테헤란로4길 32 1층 고쿠텐
183,수수커피 강남N타워점,서울 강남구 테헤란로 129 강남N타워 G층 2호 수수커피
184,훠궈나라 강남점,서울 강남구 봉은사로2길 35 2층
185,클로리스 역삼 GFC점,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층
186,바게트케이,서울 강남구 테헤란로34길 21-10
187,중경마라탕 강남2호점,서울 강남구 강남대로78길 27 2층
188,리춘시장 강남역점,서울 강남구 테헤란로1길 30 2층
189,차알 역삼 센터필드점,서울 강남구 테헤란로 231 지하 2층
190,회장님댁 강남역점,서울 강남구 테헤란로1길 28 지하
191,스테이터 강남본점,서울 강남구 봉은사로4길 29 1층 스테이터
192,쏭타이 역삼점,서울 강남구 테헤란로39길 51 옥산빌딩 1층 102호
193,동래정 선릉직영점,서울 강남구 언주로98길 20 1층 101호
194,별컵맥주 강남역점,서울 강남구 테헤란로4길 6 센트럴푸르지오시티 1층 113호
195,램브란트 선릉점,서울 강남구 테헤란로 337 화남빌딩 14층
196,에이스크랩 강남직영점,서울 강남구 언주로98길 39-5 1층
197,불이아 역삼점,서울 강남구 논현로 514
198,라공방 강남1호 본점,서울 강남구 테헤란로4길 6
199,아이해브어드림 강남본점,서울 강남구 테헤란로5길 7 KG Tower 지하1층
200,마치래빗 샐러드 강남역점,서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 B1-139호
201,브루커피 강남타워300점,서울 강남구 테헤란로2길 21 1
202,갈비다움 역삼본점,서울 강남구 테헤란로25길 31
203,커피스니퍼 센터필드점,서울 강남구 테헤란로 231 센터필드 지상 2층 E207호 커피스니퍼
204,쭈꾸미랩소디 강남점,서울 강남구 강남대로98길 12-3 1층 쭈꾸미랩소디
205,올바른스시 강남역점,서울 강남구 봉은사로4길 40 1층
206,스시산원 청,서울 강남구 선릉로100길 42 LG선릉에클라트 A동 1층 1호
207,백억하누 강남본점,서울 강남구 테헤란로5길 29 1
208,샤브쌈주머니 서울강남점,서울 강남구 테헤란로5길 11
209,오봉집 선릉점,서울 강남구 테헤란로55길 18 1층
210,온돌 더프라임 강남점,서울 강남구 테헤란로 129 강남N타워 지하1층
211,육시리 역삼직영점,서울 강남구 논현로 420
212,1914 라운지&바,서울 강남구 테헤란로 231 조선 팰리스 24층
213,카페온화 강남점,서울 강남구 봉은사로4길 37 2층
214,풍국면 강남직영점,서울 강남구 테헤란로8길 21 화인강남빌딩 1층
215,아방베이커리 센터필드점,서울 강남구 테헤란로 231 센터필드 웨스트동 1층 아방 베이커리
216,수플레 팬케이크 소과당 본점,서울 강남구 강남대로96길 12 A동 2층 소과당
217,마유유 마라탕 강남역점,서울 강남구 강남대로94길 27 2층
218,동화고옥 강남N점,서울 강남구 테헤란로 129 강남N타워 B2층
219,뱃살도둑 역삼점,서울 강남구 논현로85길 70 103호
220,뽕사부 역삼점,서울 강남구 논현로94길 3 1층
221,후라토식당 역삼점,서울 강남구 테헤란로 152 지하 1층 P9호
222,우밀면옥 상록점,서울 강남구 언주로 508
223,보승회관 강남역직영점,서울 강남구 테헤란로1길 17 101호
